Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2008-0176-IDN,2008,0176,Natural,Hydrological,Flood,Flash flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Aceh Barat district (Nangroe Aceh Darussalam province),Heavy rain,,,,,,,4200,Km2,4.65,95.77,,,2008,4,23,2008,4,27,,,34514,,34514,,,,84.21522909
2008-0013-IDN,2008,0013,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Bogor, Kota Depok districts (Jawa Barat province), Kota Jakarta Timur, Kota Jakarta Selatan districts (Dki Jakarta province), Tangerang district (Banten province)",Heavy rains,,,,,,,2180,Km2,-6.23,106.83,,"Ciliwung, Cisadane, Sabi",2008,1,2,2008,1,6,,,1000,,1000,,,,84.21522909
2008-0042-IDN,2008,0042,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Jakarta Barat, Kota Jakarta Pusat, Kota Jakarta Timur districts (Dki Jakarta province)",Heavy rain,,,,,,,380,Km2,-6.19,106.85,,,2008,2,1,2008,2,6,3,,88261,1500,89761,,,,84.21522909
2008-0052-IDN,2008,0052,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Pasuruan district (Jawa Timur province),Heavy rain,,,,,,,810,Km2,-7.71,112.91,,,2008,1,30,2008,1,31,3,,40000,,40000,,,653,84.21522909
2008-0128-IDN,2008,0128,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Kampar, Kota Pekanbaru, Kuantan Singingi districts (Riau province)",Heavy rain,,,,,,,80090,Km2,0.54,101.78,,"Siak, Rokan, Kampar, Indragiri",2008,3,10,2008,4,3,,,60000,,60000,,,,84.21522909
2008-0383-IDN,2008,0383,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Limba B, Biwau, Biawao, Donggala, Limba U2, Moodu, Heledula Utara, Heledulaa Selatan, Ipilo, Bugis, Tenilo, Dembe Jaya II, Dembe Jaya, Wongkaditi Timur areas (Gorontalo district, Gorontalo province), Kota Gorotalo, Bonebolango districts (Gorontalo province), Sumatra Utara, Sulawesi Selatan, Maluku, Riau, Sulawesi Tengah, Jawa Barat, Kalimantan Selatan, Kalimantan Tengah, Kalimantan Timur provinces",Monsoonal rains,,,,,,,9851,Km2,0.68,122.52,,,2008,9,6,2008,9,8,16,,118000,,118000,,,1080,84.21522909
2008-0618-IDN,2008,0618,Natural,Hydrological,Flood,Riverine flood,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Jawa Tengah, Gorontalo, Kalimantan Barat, Sulawesi Tengah, Bali, Bengkulu, Banten, Sumatera Utara, Jawa Barat provinces",,,,,,,,,Km2,,,,,2008,10,,2008,10,,5,,11000,,11000,,,,84.21522909
2008-0635-IDN,2008,0635,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Lombok Barat district (Nusatenggara Barat province),Heavy rain,,,,,,,126700,Km2,-3.33,103.14,,,2008,12,26,2009,1,12,24,,15000,,15000,,,,84.21522909
2008-0189-IDN,2008,0189,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Puncakjaya, Mimika districts (Papua province)",,,,,,,,,,-4.4831667,137.69,,,2008,5,5,2008,5,5,21,,,,,,,,84.21522909
2008-0634-MYS,2008,0634,Natural,Hydrological,Flood,Flash flood,,,Affected,Malaysia,MYS,South-Eastern Asia,Asia,"Pahang, Kelantan, Terengganu, Sarawak provinces",Heavy rain,,,,,,,67570,Km2,6.64,101.1,,,2008,12,28,2009,1,19,,,6000,,6000,,,,84.21522909
2008-0347-PHL,2008,0347,Natural,Hydrological,Flood,Flash flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Bansalan area (Davao del Sur district, Region XI province)",,,,,,,,,Km2,,,,,2008,6,6,2008,6,6,1,,1000,,1000,,,,84.21522909
2008-0545-PHL,2008,0545,Natural,Hydrological,Flood,Flash flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Alcala, Amulung, Enrile, Gattaran, Iguig, Lasam, Claveria, Peablanca, Solana, Tuguegarao city, Tuao, Camalaniugan, Lallo, Baggao areas (Cagayan district, Region II province), Cauayan city, Quezon, Cabagan, Delfin Albano, Ilagan, Mallig, Tumauni, San Pablo, Sta. Maria, Sto. Thomas areas (Isabela district, Region II province), Casiguran, Dinalungan, Dilasag areas (Aurora district, Region III province), Rizal, Lubuagan areas (Kalinga district, CAR province)",Heavy rain (Tail-end of a cold front),,,,,,,21770,Km2,17.95,147.03,,,2008,11,21,2008,11,24,10,,239763,,239763,,,4088,84.21522909
2008-0571-PHL,2008,0571,Natural,Hydrological,Flood,Riverine flood,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Region II (Cagayan Valley), Region V (Bicol region), Region XIII (Caraga), Region XI (Davao Region), Region III (Central Luzon), Region IV-A (Calabarzon), Region IV (Southern Tagalog) provinces",Heavy rains,,,,,,,24110,Km2,17.2,121.8,,,2008,12,1,2008,12,4,29,,,50000,50000,,,,84.21522909
2008-0608-PHL,2008,0608,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Nueva Ecija, Tarlac, Pampanga, Bulacan districts (Region III province)",Tropical Depression Julian,,,,,,,,Km2,,,,,2008,8,8,2008,8,8,,,39530,,39530,,,,84.21522909
2008-0611-PHL,2008,0611,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Asucion area (Davao del Norte district, Region XI province), Initao, Gitagum areas (Misamis Oriental district, Region X province)",,,,,,,,,Km2,,,,,2008,1,18,2008,1,18,,,29184,,29184,,,446,84.21522909
2008-0620-PHL,2008,0620,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Manay area (Davao Oriental district, Region XI province), Braulio E. Dujali area (Davao del Norte district, Region XI province)",Heavy rains,,,,,,,,Km2,,,,,2008,6,17,2008,6,17,7,1,2390,,2391,,,173,84.21522909
2008-0622-PHL,2008,0622,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Pigcawayan, Midsayap, Pikit areas (North Cotabato district, Region XII province), Sultan Kudarat, Mother Kabuntalan, Northern Kabuntalan, Datu Odin Sinsuat areas (Shariff Kabunsuan district, ARMM province), Sultan Sabarongis, Rajah Buauan, Mamasapano, Datu Piang, Datu Anggal Midtimbang, Datu Saudi Ampatuan areas (Maguindanao district, ARMM province)",,,,,,,,,Km2,,,,,2008,9,4,2008,9,13,6,3,365675,,365678,,,4137,84.21522909
2008-0393-PHL,2008,0393,Natural,Hydrological,Landslide,Landslide,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Maco city (Compostela district, Region XI (Davao Region) province)",Heavy rains,,,,,Yes,,,,,,,,2008,9,6,2008,9,6,24,28,5000,,5028,,,,84.21522909
2008-0155-PHL,2008,0155,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Neoguri"" (Ambo)",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,,,,,,,175,Kph,,,,,2008,4,13,2008,4,13,1,,,,,,,16000,84.21522909
2008-0369-PHL,2008,0369,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Nuri"" (Karen)",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Region I (Ilocos region), Region II (Cagayan Valley), Cordillera Administrative region (CAR) provinces",,,,,,,,150,Kph,,,,,2008,8,22,2008,8,22,38,13,429450,,429463,,,33870,84.21522909
2008-0623-PHL,2008,0623,Natural,Meteorological,Storm,Tropical cyclone,,"TRopical storm ""Higos"" (Pablo)",Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Nueva Ecija, Pampanga districts (Region III (Central Luzon) province)",,,,,,,,,Kph,,,,,2008,9,29,2008,9,29,1,,27683,,27683,,,,84.21522909
2009-0174-PHL,2009,0174,Natural,Meteorological,Storm,Tropical cyclone,,"Typhhon ""Dante"" (Kujira)",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Region V (Bicol region) province,,Flood,"Slide (land, mud, snow, rock)",,,,,148,Kph,,,,,2009,4,29,2009,5,5,29,8,383457,,383465,,,25810,83.91580741
2009-0165-PHL,2009,0165,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Emong"" (Chanom)",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Aringay, Agoo, Bacnotan, Bagulin, Bauang, Burgos, Caba, Naguillian Pugo, Rosario, San Gabriel, San Juan, Sto Thomas, Tubao, San Fernando areas (La Union district, Region I (Ilocos region) province), Anda, Agno, Bani, Bolinao, Dasol, Infanta, Lingayan, Mabini, Sta Barbara, Sual, Alaminos city, Dagupan areas (Pangasinan district, Region I (Ilocos region) province), Ambaguio, Bagabag, Bambang, Bayombong, Dupax del Sur, Solano, Sta Fe areas (Nueva Vizcaya district, Region II (Cagayan Valley) province), Aurora, Cabaruan, Cordon, Delfin Albano, Ilagan, Luna, Quirino, Ramon, Reina Mercedes, Cauayan city, Santiago areas (Isabela district, Region II (Cagayan Valley) province), Cabarroguis, Saguiday areas (Quirino district, Region II (Cagayan Valley) province), Rizal area (Cagayan district, Region II (Cagayan Valley) province), Sta Cruz, Olongapo areas (Zambales district, Region III (Central Luzon) province), Guagua area (Pampanga district, Region III (Central Luzon) province), Kiangan, Asipulo, Lamut, Lagawe, Hingyon, Hungduan, Tinoc, Aguinaldo, Alfonso Lista areas (Ifugao district, Cordillera Administrative region (CAR) province), Pinukpuk, Lubuagan areas (Kalinga district, Cordillera Administrative region (CAR) province), Baguio city (Benguet district, Cordillera Administrative region (CAR) province)",,"Slide (land, mud, snow, rock)",Flood,,,,,139,Kph,,,,,2009,5,7,2009,5,10,77,53,400954,,401007,,,30342,83.91580741
2009-0239-PHL,2009,0239,Natural,Meteorological,Storm,Tropical cyclone,,"Topical Storm ""Feria"" (Nangka)",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Metropolitan Manila district (National Capital region (NCR) province), Pampanga district (Region III (Central Luzon) province), Batangas, Cavite, Quezon districts (Region IV-A (Calabarzon) province), Romblon, Mindoro Oriental, Mindoro Occidental, Marinduque districts (Region IV (Southern Tagalog) province), Albay, Camarines Sur, Masbate districts (Region V (Bicol region) province), Antique district (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Region VIII (Eastern Visayas) province",,"Slide (land, mud, snow, rock)",Surge,,,,,83,Kph,,,,,2009,7,23,2009,7,26,16,5,110400,,110405,,,4281,83.91580741
2009-0063-IDN,2009,0063,Natural,Hydrological,Flood,Flash flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Blora, Sragen, Bojonegoro, Jember, Ngawi, Pasuruan districts (Jawa Timur province), Luwu district (Sulawesi Selatan province)",Incessant rains,"Slide (land, mud, snow, rock)",,,,,,60610,Km2,-2.63,120.26,,,2009,1,27,2009,2,2,18,,12000,,12000,,,,83.91580741
2009-0023-PHL,2009,0023,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Aringay area (La Union district, Region I province), Brroke's Point, Bataraza, Balabac areas (Palawan district, Region IV province), Labo area (Camarines Norte district, Region V province), Bagamanoc, Baras, Bato, Caramoran, Gigmoto, Pandan, Panganiban, San Andres, San Miguel, Viga, Virac areas (Catanduanes district, Region V province), Pontevedra, Panitan, Sigma, Dao, Cuartero areas (Capiz district, Region VI province), Amlan area (Negros Oriental district, Region VII province), Bobon, Catarman, Lavesares, Lope de Vega, Mondragon, Palapag, San Roque areas (Northern Samar district, Region VIII province), Cayagan de Oro City area (Misamis Oriental district, Region X province), Region XIII (Caraga) province",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2009,1,2,2009,1,15,33,15,537976,,537991,,,6354,83.91580741
2009-0121-IDN,2009,0121,Natural,Hydrological,Flood,Riverine flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Cireundeu village (Tangerang district, Banten province)",Heavy rain,Broken Dam/Burst bank,,,,,,19200,Km2,6.55,106.36,,,2009,3,26,2009,3,27,64,,1600,,1600,,,,83.91580741
2009-0001-IDN,2009,0001,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,"Manokwari , Sorong districts (Papua Barat province)",,,,,,,,8,Richter,-0.414,132.885,04:43,,2009,1,3,2009,1,3,5,250,4000,,4250,,,10000,83.91580741
2009-0112-IDN,2009,0112,Natural,Geophysical,Earthquake,Ground movement,,,Affected,Indonesia,IDN,South-Eastern Asia,Asia,Kepulauan-talaud district (Sulawesi Utara province),,,,,,,,7,Richter,3.886,126.387,,,2009,2,11,2009,2,11,,64,2985,,3049,,,9000,83.91580741
2009-0049-IDN,2009,0049,Natural,Hydrological,Landslide,Landslide,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Buwun Mas village (Central Sekotong sub-district, Lombok Barat, Nusatenggara Barat province)",Heavy rains,,,,,,,,,,,,,2009,1,18,2009,1,18,15,,5,,5,,,,83.91580741
2009-0251-MMR,2009,0251,Natural,Hydrological,Landslide,Landslide,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,"Hpakant area (Myitkyina district, Kachin province)",Heavy rains,,,,,,,,,,,,,2009,7,4,2009,7,4,24,,1351,,1351,,,,83.91580741
2009-0193-PHL,2009,0193,Natural,Meteorological,Storm,Convective storm,Tornado,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Shariff Kabunsuan, Maguindanao districts (Autonomous region in Muslim Mindanao (ARMM) province)",,,,,,,,,Kph,,,,,2009,5,15,2009,5,15,,,,100,100,,,5,83.91580741
2009-0027-PHL,2009,0027,Natural,Hydrological,Flood,Flash flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Poblacion, Mago-ong, Samburon baranguays villages (Linamon area, Labao del Norte district, Region X province)",Heavy rains,,,,,,,,Km2,,,,,2009,1,8,2009,1,8,,,1345,,1345,,,,83.91580741
2009-0194-PHL,2009,0194,Natural,Hydrological,Flood,Flash flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Sultan Kudarat district (Region XII province) Maguindanao, Shariff Kabunsuan districts (ARMM province)",Heavy rains,,,,,,,,Km2,,,,,2009,5,18,2009,5,18,,,34325,,34325,,,,83.91580741
2009-0267-PHL,2009,0267,Natural,Hydrological,Flood,Flash flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Valencia City area (Bukidnon district, Region X province)",Heavy rains,,,,,,,,Km2,,,,,2009,7,17,2009,7,17,,,920,,920,,,,83.91580741
2009-0026-PHL,2009,0026,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Malibago, Gumamela, Anahaw, Bagacay, Santa Cruz villages (Labo area, Camarines Norte district, Region V province)",Continuous rains,,,,,,,,Km2,,,,"Labo, Busigon rivers",2009,1,9,2009,1,9,,,1300,,1300,,,,83.91580741
2009-0195-PHL,2009,0195,Natural,Hydrological,Flood,Riverine flood,,,Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Brgys Mahayahay, Pugaan, Tambacan, Ubaldo Laya, Pala-o, Tipanoy, Tubod barangays villages (Iligan city area, Lanao del Norte district, Region X province)",,,,,,,,,Km2,,,,,2009,5,18,2009,5,18,,,715,,715,,,,83.91580741
2009-0192-PHL,2009,0192,Natural,Hydrological,Landslide,Landslide,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Magapispis, Sitio Boringot, Brgy Napnapan, Sitio Gumayan, Brgy Kingking villages (Compostela district, Region XI (Davao Region) province)",Heavy rains,,,,,,,,,,,,,2009,5,18,2009,5,18,10,16,,,16,,,,83.91580741
2009-0265-PHL,2009,0265,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Isang"" (Molave)",Affected,Philippines (the),PHL,South-Eastern Asia,Asia,"Dingras, Nueva Era, Paoay, Batac, Adams, Pinili, Piddig, San Nicolas, Banna, Marcos, Solsona, Sarrat, Pasuqion areas (Ilocos Norte district, Region I (Ilocos region) province), Naic, Kawit, Noveleta, Bacoor, Cavite areas (Cavite district, Region IV-A (Calabarzon) province), San Mateo, Rodriguez areas (Rizal district, Region IV-A (Calabarzon) province), Passig, Las Pinas, Marikina, Quezon, Taguig areas (Metropolitan Manila district, National Capital region (NCR) province)",,,,,,,,,Kph,,,,,2009,7,18,2009,7,18,5,1,248057,,248058,,,,83.91580741
2007-0676-TLS,2007,0676,Natural,Hydrological,Flood,,,,Waiting,Timor-Leste,TLS,South-Eastern Asia,Asia,"Aileu, Ainaro, Baucau, Bobonaro, Covalima, Ermera, Lautem, Liquica provinces",Intense monsoonal activity,Rain,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2007,12,,2008,1,,,,,,,,,,81.10165893
2007-0398-TLS,2007,0398,Natural,Hydrological,Flood,Riverine flood,,,Affected,Timor-Leste,TLS,South-Eastern Asia,Asia,"Covalima, Manatuto, Ermera, Manufahi, Baucau, Viqueque provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2007,6,,2007,7,,1,,947,,947,,,,81.10165893
2007-0611-THA,2007,0611,Natural,Hydrological,Flood,Riverine flood,,,Kill,Thailand,THA,South-Eastern Asia,Asia,"Narathiwat, Yala, Songkhla provinces",Monsoonal rain,Broken Dam/Burst bank,,,,Yes,,,Km2,3.89,102.93,,"Kolok, Sai Buri, Pattani",2007,12,7,2007,12,21,3,,65000,,65000,,,,81.10165893
2007-0463-VNM,2007,0463,Natural,Meteorological,Storm,Tropical cyclone,,Lekima,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Ha Tinh, Quang Tri, Quang Ngai, Quang Nam, Son La, Yen Bai, Hoa Binh, Thai Binh, Thanh Hoa, Nghe An, Ninh Binh provinces",,Flood,,Yes,,,,117,Kph,17.07,106.9,,,2007,9,29,2007,10,12,96,150,637755,47525,685430,,,191000,81.10165893
2007-9347-PHL,2007,9347,Natural,Climatological,Drought,Drought,,,Declar,Philippines (the),PHL,South-Eastern Asia,Asia,"La Union, Pangasinan, Ilocos Sur districts (Region I (Ilocos region) province), Isabela, Nueva Vizcaya, Quirino districts (Region II (Cagayan Valley) province)",,,,,,,,,Km2,,,,,2007,8,,2007,8,,,,,,,,,,81.10165893
2007-0181-THA,2007,0181,Natural,Hydrological,Flood,Riverine flood,,,Affected,Thailand,THA,South-Eastern Asia,Asia,"Phichit, Phrae, Uttaradit, Nakhon Sawan, Nan, Phitsanulok provinces",Heavy rain,,,,,,,38380,Km2,17.21,100.34,,"Yom, Nan, Chao Phraya",2007,5,11,2007,5,21,,,1000,,1000,,,,81.10165893
2007-0446-THA,2007,0446,Natural,Hydrological,Flood,Riverine flood,,Monsoonal rain,Affected,Thailand,THA,South-Eastern Asia,Asia,"Phetchabun, Loei, Kalasin, Mukdahan, Chiang Rai, Phichit provinces",Monsoonal rain,,,,,,,139500,Km2,16.82,102.48,,"Mae Khong, Kwai Noi, Kam, Chi, Yom, Wangthong",2007,9,5,2007,11,10,10,,17000,,17000,,,,81.10165893
2007-0530-THA,2007,0530,Natural,Hydrological,Flood,Riverine flood,,,Affected,Thailand,THA,South-Eastern Asia,Asia,"Chumphon, Surat Thani provinces",Heavy rains,,,,,,,13140,Km2,9.72,99,,,2007,10,22,2007,10,29,2,,100000,,100000,,,1500,81.10165893
2007-0323-VNM,2007,0323,Natural,Hydrological,Flood,Coastal flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Dak Lak, Lam Dong, Ha Tinh provinces",Tropical storm,,,Yes,,,4400,,Km2,,,,,2007,8,5,2007,8,7,74,130,416000,,416130,,,130000,81.10165893
2007-0558-VNM,2007,0558,Natural,Hydrological,Flood,Coastal flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Khanh Hoa, Quang Ngai, Binh Dinh, Quang Nam, Thua Thien-Hue, Ninh Thuan, Quang Tri, Da Nang City provinces",Typhoon Peipah,,,,,,,36820,Km2,15.3,108.44,,"Cau, Huong, Kon, Da",2007,11,10,2007,11,21,55,,150000,,150000,,,350000,81.10165893
2007-0512-VNM,2007,0512,Natural,Hydrological,Flood,Riverine flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien - Hue, Quang Ngai, Quang Tri, Quang Nam provinces",Heavy rains,,,,,,,24810,Km2,15.87,107.78,,Huong,2007,10,14,2007,10,24,15,,22000,,22000,,,10000,81.10165893
2007-0522-VNM,2007,0522,Natural,Hydrological,Flood,Riverine flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Thua Thien-Hue, Quang Ngai, Quang Nam, Quan Binh provinces",Heavy rain,,,,,,,35110,Km2,16.32,107.36,,"Thu Bon, Vu Gia, O Lau, Thach Han, Kien Giang",2007,10,28,2007,11,9,83,42,94000,,94042,,,300000,81.10165893
2007-0274-VNM,2007,0274,Natural,Biological,Epidemic,Viral disease,,Dengue,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,,,,,,No,No,,,Vaccinated,,,,,2007,7,,2007,7,,27,,,,,,,,81.10165893
2007-0531-VNM,2007,0531,Natural,Hydrological,Flood,,,,Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Dong Thap, An Giang, Kien Giang provinces",Heavy rain,,,,,,,46470,Km2,11.01,105.51,,"Mekong, Tien, Hau",2007,10,20,2007,11,2,3,,280000,,280000,,,,81.10165893
2007-9650-TLS,2007,9650,Natural,Climatological,Drought,Drought,,,Waiting,Timor-Leste,TLS,South-Eastern Asia,Asia,"Aileu, Ainaro, Baucau, Ermera, Liquica, Manatuto, Manufahi provinces",,,,,,,,,Km2,,,,,2007,2,,2007,3,,,,,,,,,,81.10165893
2008-0329-VNM,2008,0329,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Kammuri"" (Julian)",Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Lao Cai, Yen Bai, Phu Tho, Bac Kan, Quang Ninh, Ha Giang, Tuyen Quang, Lai Chau, Son La provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,22.05,105.21,,,2008,8,8,2008,8,11,162,90,52630,4910,57630,,,120000,84.21522909
2008-0426-VNM,2008,0426,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Hagupit"" (Nina)",Affected,Viet Nam,VNM,South-Eastern Asia,Asia,"Lang Son, Son La, Bac Giang, Lao Cai, Quang Ninh, Vinh Phuc provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,21.9,104.59,,,2008,9,25,2008,9,28,46,61,51755,6695,58511,,,63000,84.21522909
2008-0481-VNM,2008,0481,Natural,Hydrological,Flood,Flash flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe An, Thua Thien-Hue, Quang Tri, Quang Nam, Quang Ngai, Thanh Hoa provinces",Storm and heavy vrain,"Slide (land, mud, snow, rock)",,,,,,39090,Km2,14.9,107.46,,,2008,10,19,2008,10,20,29,4,12000,,12004,,,4000,84.21522909
2008-0373-VNM,2008,0373,Natural,Hydrological,Flood,Riverine flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Ha Giang province,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2008,8,26,2008,8,28,16,,,,,,,,84.21522909
2008-0501-VNM,2008,0501,Natural,Hydrological,Flood,Riverine flood,,,Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Thai Nguyen, Vinh Phuc, Hoa Binh, Ninh Binh, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Ha Nam, Ha Noi City provinces",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,,215,74590,Km2,20.74,106.32,,,2008,10,27,2008,11,4,99,,600000,,600000,,,479000,84.21522909
2008-0184-THA,2008,0184,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Nargis,Kill,Thailand,THA,South-Eastern Asia,Asia,Tak province,,Flood,,,,,,,Kph,,,,,2008,5,2,2008,5,3,,,,1000,1000,,,,84.21522909
2008-0329-THA,2008,0329,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Kammuri"" (Julian)",Kill,Thailand,THA,South-Eastern Asia,Asia,"Chiang Rai, Loei, Nakhon Phanom, Nan, Nong Khai, Phayao, Phitsanulok, Sakon Nakhon, Udon Thani, Uttaradit provinces",,Flood,,,,,,,Kph,17.31,103.66,,,2008,8,11,2008,8,20,,,,,,,,,84.21522909
2008-0437-VNM,2008,0437,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Mekkhala""",Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Binh, Ha Tinh provinces",,Flood,,,,,,102,Kph,,,,,2008,9,30,2008,9,30,18,,30860,820,31680,,,6500,84.21522909
2008-0540-VNM,2008,0540,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Maysak"" (Quinta-Sony)",Kill,Viet Nam,VNM,South-Eastern Asia,Asia,Ho Chi Minh City province,,Flood,,,,,,,Kph,,,,,2008,11,5,2008,11,5,11,,,,,,,,84.21522909
2008-0552-VNM,2008,0552,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Noul""",Kill,Viet Nam,VNM,South-Eastern Asia,Asia,"Phu Yen, Khanh Hoa, Binh Dinh, Lam Dong, Ninh Thuan, Quang Nam provinces",,Flood,,,,,,,Kph,15.7,107.71,,,2008,11,17,2008,11,20,17,8,8585,235,8828,,,1000,84.21522909
2008-0547-THA,2008,0547,Natural,Hydrological,Flood,Flash flood,,,Affected,Thailand,THA,South-Eastern Asia,Asia,"Nakhon Si Thammarat, Surat Thani, Narathiwat, Phatthalung, Songkhla, Yala, Trang, Chumphon, Pattani provinces",Heavy rains,,,,,,,15650,Km2,7.55,100.1,,,2008,11,20,2008,12,20,21,,700000,,700000,,,11500,84.21522909
2008-0634-THA,2008,0634,Natural,Hydrological,Flood,Flash flood,,,Affected,Thailand,THA,South-Eastern Asia,Asia,"Phatthalung, Yala, Narathiwat provinces",Heavy rains,,,,,,,,Km2,6.64,101.1,,,2008,12,29,2009,1,19,,,32584,,32584,,,344,84.21522909
2008-0430-THA,2008,0430,Natural,Hydrological,Flood,Riverine flood,,,Kill,Thailand,THA,South-Eastern Asia,Asia,"Phitsanulok, Lopburi, Phra Nakhon Si Ayudhya",Monsoonal rain,,,,,,,,Km2,,,,,2008,9,13,2008,10,7,18,,839573,,839573,,,16000,84.21522909
